iter	Passed	Remaining
495	522	530
496	522	529
497	523	527
498	524	526
499	524	524
500	525	522
501	525	521
502	526	519
503	526	518
504	527	516
505	527	515
506	528	513
507	528	512
508	529	510
509	529	509
510	530	507
511	530	506
512	531	504
513	532	503
514	532	501
515	533	500
516	534	499
517	540	503
518	544	504
519	545	503
520	546	502
521	546	500
522	547	499
523	548	497
524	548	496
525	551	496
526	557	500
527	561	501
528	561	500
529	562	498
530	563	497
531	564	496
532	564	494
533	565	493
534	565	491
535	566	490
536	567	489
537	568	487
538	568	486
539	569	485
540	570	483
541	570	482
542	571	480
543	573	480
544	580	484
545	584	485
546	585	484
547	586	483
548	587	482
549	588	481
550	589	480
551	589	478
552	590	477
553	590	475
554	591	474
555	592	472
556	593	471
557	596	472
558	603	475
559	605	475
560	605	474
561	606	472
562	607	471
563	608	470
564	614	473
565	620	475
566	621	474
567	622	473
568	623	472
569	624	470
570	625	469
571	625	468
572	626	466
573	627	465
574	628	464
575	628	462
576	629	461
577	630	460
578	630	458
579	631	457
580	632	456
581	633	454
582	633	453
583	634	451
584	635	450
585	636	449
586	636	448
587	639	447
588	646	451
589	649	451
590	653	452
591	660	454
592	661	454
593	662	452
594	662	451
595	663	449
596	664	448
597	664	446
598	665	445
599	666	444
600	666	442
601	667	441
602	669	441
603	676	443
604	680	444
605	681	443
606	682	441
607	682	440
608	683	438
609	684	437
610	685	436
611	685	434
612	686	433
613	687	431
614	687	430
615	688	429
616	689	427
617	689	426
618	690	424
619	691	423
620	691	422
621	692	420
622	692	419
623	693	417
624	693	416
625	694	414
626	694	413
627	695	411
628	695	410
629	696	409
630	697	407
631	698	406
632	698	405
633	699	403
634	700	402
635	700	401
636	701	399
637	702	398
638	702	397
639	703	395
640	703	394
641	704	392
642	704	391
643	705	389
644	705	388
645	706	387
646	707	385
647	707	384
648	708	383
649	708	381
650	709	380
651	709	378
652	710	377
653	710	375
654	711	374
655	711	373
656	712	371
657	712	370
658	713	369
659	714	368
660	716	367
661	722	368
662	726	369
663	727	367
664	727	366
665	728	365
666	729	364
667	730	363
668	730	361
669	731	360
670	732	359
671	732	357
672	733	356
673	733	355
674	734	353
675	735	352
676	735	350
677	735	349
678	736	348
679	736	346
680	737	345
681	738	344
682	738	342
683	739	341
684	739	340
685	740	338
686	740	337
687	741	336
688	741	334
689	742	333
690	743	332
691	743	331
692	744	329
693	745	328
694	745	327
695	746	326
696	747	324
697	747	323
698	748	322
699	748	320
700	749	319
701	749	318
702	750	317
703	751	315
704	751	314
705	752	313
706	752	311
707	753	310
708	753	309
709	754	308
710	755	306
711	755	305
712	756	304
713	756	303
714	757	301
715	758	300
716	759	299
717	759	298
718	762	297
719	770	299
720	772	299
721	773	297
722	774	296
723	775	295
724	776	294
725	777	293
726	777	292
727	778	290
728	778	289
729	779	288
730	780	287
731	783	286
732	791	288
733	792	287
734	793	286
735	794	284
736	794	283
737	795	282
738	795	281
739	796	279
740	797	278
741	797	277
742	798	276
743	799	274
744	799	273
745	800	272
746	801	271
747	801	270
748	802	268
749	803	267
750	804	266
751	810	267
752	816	267
753	817	266
754	818	265
755	820	264
756	828	265
757	829	264
758	830	263
759	830	262
760	831	261
761	834	260
762	841	261
763	844	260
764	844	259
765	845	258
766	846	257
767	847	255
768	848	254
769	855	255
770	861	255
771	862	254
772	869	255
773	875	255
774	876	254
775	877	253
776	878	252
777	883	252
778	890	252
779	895	252
780	902	253
781	904	252
782	904	250
783	908	250
784	916	250
785	917	249
786	917	248
787	918	247
788	919	245
789	920	244
790	928	245
791	931	244
792	934	243
793	943	244
794	945	243
795	954	244
796	960	244
797	967	245
798	971	244
799	978	244
800	980	243
801	988	243
802	992	243
803	1001	244
804	1006	243
805	1014	244
806	1015	242
807	1021	242
808	1029	242
809	1030	241
810	1037	241
811	1041	241
812	1048	241
813	1053	240
814	1054	239
815	1055	238
816	1056	236
817	1057	235
818	1058	233
819	1059	232
820	1065	232
821	1072	232
822	1080	232
823	1084	231
824	1085	230
825	1097	231
826	1106	231
827	1110	230
828	1115	230
829	1122	229
830	1123	228
831	1124	226
832	1128	226
833	1136	226
834	1137	224
835	1138	223
836	1138	221
837	1140	220
838	1147	220
839	1150	219
840	1151	217
841	1156	217
842	1164	216
843	1171	216
844	1176	215
845	1180	214
846	1189	214
847	1195	214
848	1201	213
849	1203	212
850	1204	210
851	1205	209
852	1205	207
853	1206	206
854	1207	204
855	1207	203
856	1208	201
857	1209	200
858	1209	198
859	1210	197
860	1210	195
861	1211	193
862	1212	192
863	1212	190
864	1213	189
865	1214	187
866	1214	186
